City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Iqaluit,CA,2022-08-13 15:39:51,63.7506,-68.5145,281.0,81,75,2.57
274,Pemangkat,ID,2022-08-13 15:39:51,1.1667,108.9667,298.76,87,99,3.16
275,Port Hedland,AU,2022-08-13 15:39:52,-20.3167,118.5667,293.18,73,4,2.06
276,Avera,US,2022-08-13 15:39:52,33.194,-82.5271,300.12,52,100,4.64
277,Port Hardy,CA,2022-08-13 15:39:53,50.6996,-127.4199,285.25,100,100,1.03
278,Aviles,ES,2022-08-13 15:39:53,43.5547,-5.9248,295.03,76,40,2.57
279,Nantucket,US,2022-08-13 15:39:54,41.2835,-70.0995,296.23,62,75,7.72
280,Acari,PE,2022-08-13 15:39:54,-15.4311,-74.6158,294.19,56,67,3.86
281,Ilhabela,BR,2022-08-13 15:39:55,-23.7781,-45.3581,295.0,66,0,3.4
282,Clovis,US,2022-08-13 15:37:53,36.8252,-119.7029,304.17,46,20,0.0
283,Saint-Pierre,RE,2022-08-13 15:39:56,-21.3393,55.4781,294.97,67,100,5.14
284,Eagle,US,2022-08-13 15:37:08,43.6954,-116.354,299.55,44,0,4.12
285,Markova,UA,2022-08-13 15:39:57,48.6758,24.4138,293.77,84,65,0.92
286,Bemidji,US,2022-08-13 15:36:42,47.4736,-94.8803,291.03,92,100,0.0
287,Salalah,OM,2022-08-13 15:35:59,17.0151,54.0924,297.2,100,100,1.54
288,Riachao Das Neves,BR,2022-08-13 15:39:58,-11.7461,-44.91,305.36,29,58,3.94
289,Xicotencatl,MX,2022-08-13 15:39:46,23.0167,-98.8833,302.33,67,85,0.22
290,Cherskiy,RU,2022-08-13 15:39:59,68.75,161.3,276.13,77,60,2.98
291,Xining,CN,2022-08-13 15:40:00,36.6167,101.7667,292.11,91,100,0.87
292,Ilula,TZ,2022-08-13 15:40:00,-7.6766,36.0366,288.89,70,34,2.62
293,Banda Aceh,ID,2022-08-13 15:40:01,5.5577,95.3222,299.66,74,7,3.39
